"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-8-16","37.290","41.830","41.830","37.160","1.42K","-3.93%"
"2023-8-15","38.815","36.835","40.500","36.200","1.70K","12.72%"
"2023-8-14","34.435","36.650","36.655","33.725","0.46K","-2.45%"
"2023-8-11","35.300","37.000","37.025","35.180","0.67K","-4.74%"
"2023-8-10","37.055","37.095","39.465","36.590","1.30K","-6.96%"
"2023-8-9","39.825","33.150","43.245","33.150","0.67K","28.20%"
"2023-8-8","31.065","29.810","31.695","29.785","0.82K","1.90%"
"2023-8-7","30.485","29.800","31.070","29.550","1.38K","5.66%"
"2023-8-4","28.853","29.500","29.785","28.645","1.45K","-5.32%"
"2023-8-3","30.475","29.875","31.350","29.680","2.08K","6.04%"
"2023-8-2","28.740","27.300","29.155","27.300","2.30K","5.95%"
"2023-8-1","27.125","29.115","29.115","26.980","2.04K","-4.37%"
"2023-7-31","28.365","27.805","28.925","27.170","0.62K","9.77%"
"2023-7-28","25.841","27.275","27.275","26.050","1.29K","-9.12%"
"2023-7-27","28.435","29.250","29.450","28.105","0.45K","-2.87%"
"2023-7-26","29.275","32.780","32.780","29.065","0.64K","-10.34%"
"2023-7-25","32.650","30.220","32.870","30.220","0.28K","6.86%"
"2023-7-24","30.555","28.150","30.425","28.150","0.28K","8.49%"
"2023-7-21","28.164","30.000","30.530","28.615","0.22K","0.51%"
"2023-7-20","28.020","25.540","27.915","25.540","0.48K","3.91%"
"2023-7-19","26.965","27.155","28.130","25.590","0.88K","-0.39%"
"2023-7-18","27.070","26.000","27.495","25.265","1.76K","7.85%"
"2023-7-17","25.100","24.465","25.785","24.465","3.05K","-3.30%"
"2023-7-14","25.957","27.570","28.700","25.110","1.82K","-2.44%"
"2023-7-13","26.605","26.885","27.545","26.230","0.37K","-0.13%"
"2023-7-12","26.640","28.455","28.580","26.320","1.54K","-8.33%"
"2023-7-11","29.060","29.930","29.930","28.910","0.54K","-3.85%"
"2023-7-10","30.225","32.830","32.830","29.555","0.77K","-9.72%"
"2023-7-7","33.478","33.300","33.585","32.705","0.26K","3.49%"
"2023-7-6","32.350","33.240","33.240","32.300","1.41K","-5.89%"
"2023-7-5","34.375","33.825","36.110","33.805","0.30K","1.31%"
"2023-7-3","33.930","37.820","37.820","33.995","0.40K","-8.55%"
"2023-6-30","37.103","35.195","37.650","35.195","0.13K","5.47%"
"2023-6-29","35.180","32.300","33.050","32.300","0.04K","3.09%"
"2023-6-28","34.125","33.800","34.400","33.800","0.03K","-1.10%"
"2023-6-27","34.505","32.905","32.905","32.350","0.06K","7.91%"
"2023-6-26","31.975","34.305","34.305","34.155","0.08K","-1.64%"
