"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-8-16","116.05","116.25","116.25","116.05","0.00K","0.39%"
"2023-8-14","115.60","115.20","115.20","115.20","0.01K","-0.77%"
"2023-8-11","116.50","116.50","117.00","116.50","0.03K","-0.85%"
"2023-8-10","117.50","115.85","115.85","115.75","0.01K","1.42%"
"2023-8-9","115.85","118.00","118.00","116.00","0.10K","0.96%"
"2023-8-8","114.75","114.00","115.00","114.00","0.19K","2.23%"
"2023-8-7","112.25","110.00","112.50","110.00","0.00K","3.70%"
"2023-8-4","108.25","108.90","108.90","108.90","0.08K","-0.23%"
"2023-8-3","108.50","106.25","108.00","106.00","0.16K","3.09%"
"2023-8-2","105.25","104.00","104.00","104.00","0.04K","1.01%"
"2023-8-1","104.20","106.45","106.45","104.00","0.17K","-1.00%"
"2023-7-31","105.25","105.10","105.50","105.00","0.09K","-4.97%"
"2023-7-28","110.75","106.50","106.50","106.50","","-0.23%"
"2023-7-27","111.00","111.00","111.00","111.00","0.00K","-0.22%"
"2023-7-26","111.25","111.25","111.25","111.25","0.00K","0.09%"
"2023-7-25","111.15","111.15","111.15","111.15","0.02K","0.09%"
"2023-7-24","111.05","111.05","111.05","111.05","0.01K","0.50%"
"2023-7-21","110.50","110.50","110.50","110.50","0.01K","0.68%"
"2023-7-20","109.75","109.75","109.75","109.75","","1.62%"
"2023-7-19","108.00","108.25","108.25","108.25","0.04K","-0.87%"
"2023-7-18","108.95","107.50","109.00","107.50","0.04K","4.76%"
"2023-7-17","104.00","103.50","104.00","103.50","0.02K","-0.14%"
"2023-7-14","104.15","105.00","105.00","105.00","0.01K","0.48%"
"2023-7-13","103.65","104.50","104.50","103.80","0.06K","-0.38%"
"2023-7-12","104.05","107.00","107.00","104.00","0.14K","-1.75%"
"2023-7-11","105.90","108.00","108.00","105.75","0.06K","-4.55%"
"2023-7-10","110.95","114.00","114.00","111.00","0.10K","-4.64%"
"2023-7-7","116.35","116.35","116.35","116.35","0.34K","-0.77%"
"2023-7-6","117.25","119.50","119.50","117.50","0.02K","-5.14%"
"2023-7-5","123.60","124.00","124.00","123.30","0.16K","0.24%"
"2023-7-4","123.30","121.00","121.25","121.00","0.22K","1.52%"
"2023-7-3","121.45","123.00","123.00","120.50","0.15K","5.15%"
"2023-6-30","115.50","115.50","115.50","115.50","","0.52%"
"2023-6-29","114.90","114.90","114.90","114.90","","-0.09%"
"2023-6-28","115.00","115.00","115.00","115.00","","0.00%"
"2023-6-27","115.00","115.00","115.00","115.00","","0.00%"
"2023-6-26","115.00","115.00","115.00","115.00","","0.35%"
"2023-6-23","114.60","114.75","115.00","114.75","0.01K","-0.48%"
"2023-6-22","115.15","115.15","115.15","115.15","0.00K","-1.37%"
"2023-6-21","116.75","116.75","116.75","116.75","","-0.38%"
"2023-6-20","117.20","117.20","117.20","117.20","0.01K","2.76%"
"2023-6-19","114.05","113.60","113.60","113.60","0.02K","-0.87%"
"2023-6-16","115.05","113.25","113.90","113.25","0.04K","-1.20%"
"2023-6-15","116.45","118.40","118.40","118.40","0.02K","0.04%"
"2023-6-14","116.40","117.25","117.50","117.00","0.08K","-0.94%"
"2023-6-13","117.50","117.50","117.50","117.50","0.09K","2.49%"
