"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-8-15","3,720.00","3,664.00","3,768.00","3,664.00","124.75K","0.19%"
"2023-8-14","3,713.00","3,713.00","3,746.00","3,676.00","207.28K","0.43%"
"2023-8-11","3,697.00","3,681.00","3,723.00","3,673.00","229.29K","0.54%"
"2023-8-10","3,677.00","3,658.00","3,734.00","3,638.00","332.06K","2.54%"
"2023-8-9","3,586.00","3,532.00","3,650.00","3,530.00","303.61K","-0.66%"
"2023-8-8","3,610.00","3,638.00","3,651.00","3,570.00","349.90K","-1.04%"
"2023-8-7","3,648.00","3,633.00","3,703.00","3,602.00","376.29K","1.02%"
"2023-8-4","3,611.00","3,602.00","3,663.00","3,576.00","408.22K","0.36%"
"2023-8-3","3,598.00","3,637.00","3,652.00","3,561.00","588.30K","-0.08%"
"2023-8-2","3,601.00","3,532.00","3,664.00","3,532.00","554.21K","2.53%"
"2023-8-1","3,512.00","3,467.00","3,549.00","3,465.00","438.17K","-3.78%"
"2023-7-31","3,650.00","3,650.00","3,650.00","3,650.00","0.12K","0.00%"
"2023-7-28","3,650.00","3,650.00","3,650.00","3,650.00","0.12K","-0.16%"
"2023-7-27","3,656.00","3,632.00","3,700.00","3,632.00","0.01K","2.75%"
"2023-7-26","3,558.00","3,458.00","3,650.00","3,452.00","0.23K","3.67%"
"2023-7-25","3,432.00","3,419.00","3,459.00","3,403.00","0.10K","1.60%"
"2023-7-24","3,378.00","3,365.00","3,405.00","3,359.00","0.07K","0.54%"
"2023-7-21","3,360.00","3,350.00","3,383.00","3,342.00","0.12K","-0.24%"
"2023-7-20","3,368.00","3,338.00","3,392.00","3,333.00","0.18K","1.94%"
"2023-7-19","3,304.00","3,294.00","3,348.00","3,285.00","0.22K","0.03%"
"2023-7-18","3,303.00","3,334.00","3,335.00","3,283.00","0.11K","-0.48%"
"2023-7-17","3,319.00","3,378.00","3,378.00","3,286.00","0.19K","-1.25%"
"2023-7-14","3,361.00","3,319.00","3,384.00","3,319.00","0.21K","-0.15%"
"2023-7-13","3,366.00","3,395.00","3,416.00","3,343.00","0.20K","0.15%"
"2023-7-12","3,361.00","3,387.00","3,392.00","3,336.00","0.53K","-0.12%"
"2023-7-11","3,365.00","3,339.00","3,381.00","3,336.00","0.19K","1.45%"
"2023-7-10","3,317.00","3,300.00","3,357.00","3,255.00","0.24K","1.16%"
"2023-7-7","3,279.00","3,229.00","3,322.00","3,229.00","0.61K","0.77%"
"2023-7-6","3,254.00","3,232.00","3,294.00","3,227.00","1.16K","2.10%"
"2023-7-5","3,187.00","3,175.00","3,239.00","3,171.00","2.86K","0.92%"
"2023-7-4","3,158.00","3,169.00","3,177.00","3,121.00","2.15K","0.25%"
"2023-7-3","3,150.00","3,148.00","3,172.00","3,125.00","0.57K","-13.03%"
"2023-6-30","3,622.00","3,920.00","3,920.00","3,565.00","0.01K","-7.06%"
"2023-6-29","3,897.00","3,900.00","3,900.00","3,896.00","0.01K","-0.36%"
"2023-6-28","3,911.00","3,850.00","3,980.00","3,850.00","0.04K","9.86%"
"2023-6-27","3,560.00","3,331.00","3,750.00","3,315.00","0.64K","6.55%"
"2023-6-26","3,341.00","3,368.00","3,439.00","3,317.00","0.16K","0.03%"
"2023-6-21","3,340.00","3,304.00","3,389.00","3,291.00","0.26K","0.97%"
"2023-6-20","3,308.00","3,311.00","3,337.00","3,264.00","0.16K","0.76%"
"2023-6-19","3,283.00","3,313.00","3,314.00","3,251.00","0.14K","0.06%"
"2023-6-16","3,281.00","3,255.00","3,310.00","3,232.00","0.19K","2.60%"
"2023-6-15","3,198.00","3,241.00","3,243.00","3,178.00","0.16K","-0.16%"
"2023-6-14","3,203.00","3,181.00","3,250.00","3,157.00","0.07K","2.10%"
"2023-6-13","3,137.00","3,135.00","3,159.00","3,111.00","0.70K","-1.57%"
"2023-6-12","3,187.00","3,234.00","3,265.00","3,155.00","0.37K","-0.65%"
"2023-6-9","3,208.00","3,243.00","3,243.00","3,186.00","0.42K","0.16%"
"2023-6-8","3,203.00","3,198.00","3,230.00","3,152.00","0.28K","1.49%"
"2023-6-7","3,156.00","3,131.00","3,179.00","3,129.00","0.20K","-0.19%"
"2023-6-6","3,162.00","3,200.00","3,200.00","3,136.00","0.42K","0.22%"
"2023-6-5","3,155.00","3,150.00","3,195.00","3,129.00","0.57K","3.24%"
"2023-6-2","3,056.00","3,050.00","3,125.00","2,986.00","0.48K","2.04%"
"2023-6-1","2,995.00","2,871.00","3,065.00","2,871.00","0.96K","-7.33%"
"2023-5-31","3,232.00","3,232.00","3,232.00","3,232.00","","0.00%"
"2023-5-30","3,232.00","3,651.00","3,651.00","3,651.00","0.00K","0.00%"
"2023-5-29","3,232.00","3,031.00","3,550.00","2,780.00","0.01K","1.83%"
"2023-5-26","3,174.00","3,227.00","3,359.00","3,055.00","0.32K","0.13%"
"2023-5-25","3,170.00","3,131.00","3,226.00","3,126.00","0.04K","0.54%"
"2023-5-24","3,153.00","3,138.00","3,220.00","3,106.00","0.20K","1.45%"
"2023-5-23","3,108.00","3,107.00","3,166.00","3,083.00","0.12K","0.00%"
"2023-5-22","3,108.00","3,194.00","3,206.00","3,053.00","0.20K","-1.80%"
"2023-5-19","3,165.00","3,167.00","3,193.00","3,131.00","0.17K","1.34%"
"2023-5-18","3,123.00","3,094.00","3,177.00","3,090.00","0.64K","2.26%"
"2023-5-17","3,054.00","3,053.00","3,072.00","3,021.00","0.28K","0.59%"
"2023-5-16","3,036.00","3,000.00","3,084.00","2,995.00","0.24K","1.40%"
"2023-5-15","2,994.00","3,030.00","3,067.00","2,941.00","0.66K","-0.60%"
"2023-5-12","3,012.00","3,032.00","3,032.00","2,982.00","0.84K","-1.73%"
"2023-5-11","3,065.00","3,088.00","3,098.00","3,039.00","1.09K","0.46%"
"2023-5-10","3,051.00","3,025.00","3,092.00","3,020.00","0.79K","0.49%"
"2023-5-9","3,036.00","3,006.00","3,055.00","3,006.00","0.97K","2.95%"
"2023-5-8","2,949.00","2,848.00","3,000.00","2,848.00","1.67K","3.15%"
"2023-5-5","2,859.00","2,916.00","2,916.00","2,805.00","2.71K","-1.82%"
"2023-5-4","2,912.00","2,850.00","2,993.00","2,850.00","3.41K","-5.82%"
"2023-4-28","3,092.00","3,030.00","3,454.00","2,900.00","1.44K","1.14%"
"2023-4-27","3,057.00","3,189.00","3,189.00","2,961.00","0.99K","-5.47%"
"2023-4-26","3,234.00","3,295.00","3,295.00","3,050.00","1.99K","-1.10%"
"2023-4-25","3,270.00","3,176.00","3,332.00","3,166.00","40.04K","1.87%"
"2023-4-24","3,210.00","3,207.00","3,252.00","3,151.00","36.79K","0.66%"
"2023-4-21","3,189.00","3,180.00","3,208.00","3,173.00","36.61K","-1.48%"
"2023-4-20","3,237.00","3,245.00","3,277.00","3,201.00","67.68K","-1.79%"
"2023-4-19","3,296.00","3,276.00","3,322.00","3,270.00","40.72K","0.43%"
"2023-4-18","3,282.00","3,278.00","3,306.00","3,251.00","48.80K","-0.52%"
"2023-4-17","3,299.00","3,321.00","3,333.00","3,267.00","78.71K","-1.20%"
"2023-4-14","3,339.00","3,325.00","3,366.00","3,316.00","68.85K","0.27%"
"2023-4-13","3,330.00","3,390.00","3,390.00","3,281.00","147.95K","0.73%"
"2023-4-12","3,306.00","3,245.00","3,359.00","3,245.00","152.88K","2.07%"
"2023-4-11","3,239.00","3,209.00","3,280.00","3,195.00","138.01K","0.34%"
"2023-4-10","3,228.00","3,227.00","3,265.00","3,204.00","141.79K","0.69%"
"2023-4-7","3,206.00","3,220.00","3,255.00","3,161.00","291.54K","2.13%"
"2023-4-6","3,139.00","3,101.00","3,207.00","3,084.00","225.49K","3.77%"
"2023-4-4","3,025.00","2,937.00","3,090.00","2,929.00","447.69K","5.58%"
"2023-4-3","2,865.00","2,760.00","2,975.00","2,758.00","453.36K","8.56%"
"2023-3-31","2,639.00","2,639.00","2,639.00","2,639.00","","0.00%"
"2023-3-30","2,639.00","2,639.00","2,639.00","2,639.00","","0.00%"
"2023-3-29","2,639.00","2,639.00","2,639.00","2,639.00","0.00K","-0.04%"
"2023-3-28","2,640.00","2,595.00","2,813.00","2,466.00","0.06K","0.80%"
"2023-3-27","2,619.00","2,613.00","2,628.00","2,613.00","0.01K","1.04%"
"2023-3-24","2,592.00","2,588.00","2,617.00","2,571.00","0.00K","-1.93%"
"2023-3-23","2,643.00","2,645.00","2,660.00","2,618.00","0.01K","1.69%"
"2023-3-22","2,599.00","2,578.00","2,621.00","2,578.00","0.00K","-1.07%"
"2023-3-21","2,627.00","2,649.00","2,649.00","2,597.00","0.00K","-0.79%"
"2023-3-20","2,648.00","2,634.00","2,680.00","2,600.00","0.04K","-0.75%"
"2023-3-17","2,668.00","2,640.00","2,746.00","2,638.00","0.02K","-0.37%"
"2023-3-16","2,678.00","2,756.00","2,757.00","2,630.00","0.03K","-5.27%"
"2023-3-15","2,827.00","2,853.00","2,853.00","2,807.00","0.03K","-1.53%"
"2023-3-14","2,871.00","2,883.00","2,916.00","2,845.00","0.06K","-3.04%"
"2023-3-13","2,961.00","2,945.00","3,000.00","2,928.00","0.04K","-1.23%"
"2023-3-10","2,998.00","3,024.00","3,076.00","2,940.00","0.05K","-0.40%"
"2023-3-9","3,010.00","3,030.00","3,030.00","2,991.00","0.05K","-1.60%"
"2023-3-8","3,059.00","3,056.00","3,090.00","3,027.00","0.07K","-0.03%"
"2023-3-7","3,060.00","3,029.00","3,087.00","3,029.00","0.06K","0.23%"
"2023-3-6","3,053.00","3,052.00","3,080.00","3,020.00","0.05K","1.60%"
"2023-3-3","3,005.00","2,984.00","3,059.00","2,984.00","0.25K","1.86%"
"2023-3-2","2,950.00","2,914.00","2,988.00","2,894.00","0.06K","0.65%"
"2023-3-1","2,931.00","2,937.00","2,946.00","2,908.00","0.07K","5.62%"
"2023-2-28","2,775.00","2,775.00","2,775.00","2,775.00","","0.00%"
"2023-2-27","2,775.00","2,775.00","2,775.00","2,775.00","0.25K","-0.32%"
"2023-2-24","2,784.00","2,841.00","2,841.00","2,765.00","0.01K","-3.70%"
"2023-2-23","2,891.00","2,895.00","2,954.00","2,832.00","0.50K","-0.28%"
"2023-2-22","2,899.00","2,893.00","2,918.00","2,854.00","0.04K","1.22%"
"2023-2-21","2,864.00","2,870.00","2,889.00","2,836.00","0.04K","1.09%"
"2023-2-20","2,833.00","2,852.00","2,870.00","2,782.00","0.55K","-0.91%"
"2023-2-17","2,859.00","2,866.00","2,871.00","2,849.00","0.06K","1.02%"
"2023-2-16","2,830.00","2,775.00","2,879.00","2,775.00","0.11K","1.98%"
"2023-2-15","2,775.00","2,773.00","2,810.00","2,738.00","0.14K","0.47%"
"2023-2-14","2,762.00","2,785.00","2,785.00","2,734.00","0.14K","0.58%"
"2023-2-13","2,746.00","2,760.00","2,765.00","2,727.00","0.15K","1.40%"
"2023-2-10","2,708.00","2,713.00","2,733.00","2,692.00","0.17K","0.30%"
"2023-2-9","2,700.00","2,657.00","2,723.00","2,657.00","0.18K","2.39%"
"2023-2-8","2,637.00","2,627.00","2,664.00","2,606.00","0.13K","2.05%"
"2023-2-7","2,584.00","2,531.00","2,625.00","2,531.00","0.23K","0.54%"
"2023-2-6","2,570.00","2,584.00","2,596.00","2,504.00","0.57K","-0.96%"
"2023-2-3","2,595.00","2,598.00","2,609.00","2,565.00","0.87K","-3.24%"
"2023-2-2","2,682.00","2,745.00","2,754.00","2,601.00","0.23K","-1.97%"
"2023-2-1","2,736.00","2,724.00","2,770.00","2,718.00","0.14K","0.07%"
"2023-1-31","2,734.00","2,731.00","2,772.00","2,706.00","0.29K","-1.44%"
"2023-1-30","2,774.00","2,788.00","2,824.00","2,724.00","0.48K","1.06%"
"2023-1-20","2,745.00","2,727.00","2,808.00","2,727.00","0.91K","-0.72%"
"2023-1-19","2,765.00","2,772.00","2,815.00","2,688.00","2.15K","2.33%"
"2023-1-18","2,702.00","2,647.00","2,772.00","2,639.00","1.59K","3.29%"
"2023-1-17","2,616.00","2,625.00","2,633.00","2,583.00","0.28K","1.63%"
"2023-1-16","2,574.00","2,584.00","2,584.00","2,565.00","0.00K","2.02%"
"2023-1-13","2,523.00","2,551.00","2,551.00","2,494.00","0.01K","1.41%"
"2023-1-12","2,488.00","2,439.00","2,539.00","2,439.00","0.09K","1.84%"
"2023-1-11","2,443.00","2,435.00","2,455.00","2,388.00","1.07K","0.08%"
"2023-1-10","2,441.00","2,468.00","2,470.00","2,410.00","0.31K","-0.29%"
"2023-1-9","2,448.00","2,454.00","2,467.00","2,424.00","0.41K","0.25%"
"2023-1-6","2,442.00","2,441.00","2,463.00","2,428.00","0.53K","-0.33%"
"2023-1-5","2,450.00","2,430.00","2,477.00","2,430.00","0.40K","-1.69%"
"2023-1-4","2,492.00","2,600.00","2,610.00","2,450.00","0.60K","-5.71%"
"2023-1-3","2,643.00","2,669.00","2,709.00","2,610.00","0.87K","0.00%"
"2022-12-30","2,643.00","2,622.00","2,665.00","2,609.00","0.13K","1.11%"
"2022-12-29","2,614.00","2,624.00","2,648.00","2,589.00","0.45K","0.50%"
"2022-12-28","2,601.00","2,644.00","2,644.00","2,579.00","0.37K","-0.95%"
"2022-12-27","2,626.00","2,601.00","2,670.00","2,585.00","0.68K","0.96%"
"2022-12-26","2,601.00","2,595.00","2,644.00","2,563.00","0.57K","1.48%"
"2022-12-23","2,563.00","2,561.00","2,598.00","2,545.00","1.91K","0.75%"
"2022-12-22","2,544.00","2,557.00","2,780.00","2,380.00","0.15K","3.37%"
"2022-12-21","2,461.00","2,417.00","2,629.00","2,367.00","2.53K","5.62%"
"2022-12-20","2,330.00","2,230.00","2,509.00","2,230.00","7.59K","1.39%"
"2022-12-19","2,298.00","2,365.00","2,365.00","2,231.00","112.31K","-5.43%"
"2022-12-16","2,430.00","2,475.00","2,490.00","2,369.00","59.21K","-1.58%"
"2022-12-15","2,469.00","2,445.00","2,495.00","2,442.00","66.21K","1.11%"
"2022-12-14","2,442.00","2,420.00","2,463.00","2,418.00","67.35K","1.54%"
"2022-12-13","2,405.00","2,400.00","2,440.00","2,361.00","80.36K","-0.66%"
"2022-12-12","2,421.00","2,440.00","2,443.00","2,390.00","81.77K","-0.04%"
"2022-12-9","2,422.00","2,428.00","2,448.00","2,380.00","121.24K","0.87%"
"2022-12-8","2,401.00","2,390.00","2,428.00","2,370.00","121.71K","-0.79%"
"2022-12-7","2,420.00","2,445.00","2,453.00","2,384.00","168.65K","-3.28%"
"2022-12-6","2,502.00","2,558.00","2,567.00","2,439.00","231.94K","-2.04%"
"2022-12-5","2,554.00","2,561.00","2,595.00","2,502.00","397.09K","-0.20%"
"2022-12-2","2,559.00","2,590.00","2,597.00","2,510.00","398.31K","-1.31%"
"2022-12-1","2,593.00","2,614.00","2,621.00","2,562.00","420.66K","-11.23%"
"2022-11-30","2,921.00","2,921.00","2,921.00","2,921.00","","0.00%"
"2022-11-29","2,921.00","2,921.00","2,921.00","2,921.00","","0.00%"
"2022-11-28","2,921.00","2,842.00","2,941.00","2,842.00","0.01K","12.22%"
"2022-11-25","2,603.00","2,575.00","2,893.00","2,466.00","0.11K","1.52%"
"2022-11-24","2,564.00","2,555.00","2,590.00","2,555.00","0.01K","-3.25%"
"2022-11-23","2,650.00","2,690.00","2,720.00","2,580.00","0.07K","0.49%"
"2022-11-22","2,637.00","2,598.00","2,704.00","2,598.00","0.05K","-3.05%"
"2022-11-21","2,720.00","2,760.00","2,770.00","2,659.00","0.06K","-2.96%"
"2022-11-18","2,803.00","2,788.00","2,863.00","2,700.00","0.05K","-0.43%"
"2022-11-17","2,815.00","2,869.00","2,869.00","2,771.00","0.04K","-3.20%"
"2022-11-16","2,908.00","2,860.00","2,953.00","2,860.00","0.01K","0.69%"
"2022-11-15","2,888.00","2,905.00","2,933.00","2,844.00","0.02K","-2.07%"
"2022-11-14","2,949.00","3,015.00","3,084.00","2,835.00","0.08K","-0.67%"
"2022-11-11","2,969.00","2,977.00","2,998.00","2,912.00","0.06K","3.67%"
"2022-11-10","2,864.00","2,888.00","2,909.00","2,824.00","0.06K","-1.00%"
"2022-11-9","2,893.00","2,942.00","2,942.00","2,852.00","0.07K","-1.26%"
"2022-11-8","2,930.00","2,903.00","2,964.00","2,887.00","0.17K","1.31%"
"2022-11-7","2,892.00","2,894.00","2,937.00","2,857.00","0.11K","3.18%"
"2022-11-4","2,803.00","2,758.00","2,859.00","2,753.00","0.11K","2.15%"
"2022-11-3","2,744.00","2,764.00","2,766.00","2,721.00","0.04K","0.15%"
"2022-11-2","2,740.00","2,694.00","2,787.00","2,662.00","0.14K","2.89%"
"2022-11-1","2,663.00","2,552.00","2,710.00","2,552.00","0.09K","5.59%"
"2022-10-31","2,522.00","2,522.00","2,522.00","2,522.00","","0.00%"
"2022-10-28","2,522.00","2,522.00","2,522.00","2,522.00","","0.00%"
"2022-10-27","2,522.00","2,462.00","2,608.00","2,462.00","0.02K","-7.92%"
"2022-10-26","2,739.00","2,872.00","2,924.00","2,572.00","0.23K","-6.61%"
"2022-10-25","2,933.00","3,028.00","3,058.00","2,811.00","0.12K","-3.30%"
"2022-10-24","3,033.00","3,014.00","3,084.00","3,004.00","0.03K","0.60%"
"2022-10-21","3,015.00","3,019.00","3,054.00","2,975.00","0.03K","0.10%"
"2022-10-20","3,012.00","2,958.00","3,040.00","2,958.00","0.05K","1.69%"
"2022-10-19","2,962.00","3,023.00","3,044.00","2,929.00","0.05K","-0.27%"
"2022-10-18","2,970.00","2,964.00","2,989.00","2,951.00","0.01K","0.24%"
"2022-10-17","2,963.00","2,980.00","2,986.00","2,940.00","0.04K","-0.47%"
"2022-10-14","2,977.00","2,970.00","3,024.00","2,946.00","0.07K","-1.26%"
"2022-10-13","3,015.00","3,036.00","3,048.00","2,981.00","0.07K","-1.08%"
"2022-10-12","3,048.00","3,033.00","3,098.00","2,991.00","0.10K","-1.14%"
"2022-10-11","3,083.00","3,144.00","3,144.00","3,045.00","0.06K","-2.50%"
"2022-10-10","3,162.00","3,200.00","3,290.00","3,006.00","0.23K","7.92%"
"2022-9-30","2,930.00","2,960.00","2,960.00","2,910.00","0.04K","-0.64%"
"2022-9-29","2,949.00","2,945.00","2,998.00","2,904.00","0.10K","1.65%"
"2022-9-28","2,901.00","2,957.00","2,957.00","2,877.00","0.05K","0.45%"
"2022-9-27","2,888.00","2,886.00","2,919.00","2,858.00","0.07K","0.03%"
"2022-9-26","2,887.00","2,924.00","2,936.00","2,851.00","0.10K","0.70%"
"2022-9-23","2,867.00","2,867.00","2,867.00","2,867.00","","0.00%"
"2022-9-22","2,867.00","2,840.00","2,880.00","2,839.00","0.03K","0.21%"
"2022-9-21","2,861.00","2,890.00","2,890.00","2,811.00","0.01K","-1.51%"
"2022-9-20","2,905.00","2,879.00","2,974.00","2,855.00","0.29K","-3.42%"
"2022-9-19","3,008.00","3,025.00","3,045.00","2,975.00","0.04K","-0.69%"
"2022-9-16","3,029.00","3,025.00","3,047.00","2,991.00","0.05K","-0.92%"
"2022-9-15","3,057.00","3,099.00","3,099.00","3,029.00","0.08K","-0.36%"
