"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-8-15","801.40","801.40","801.40","801.40","","0.00%"
"2023-8-14","801.40","801.40","801.40","801.40","","0.00%"
"2023-8-11","801.40","801.40","801.40","801.40","","0.00%"
"2023-8-10","801.40","801.40","801.40","801.40","","0.00%"
"2023-8-9","801.40","801.40","801.40","801.40","","0.00%"
"2023-8-8","801.40","801.40","801.40","801.40","","0.00%"
"2023-8-7","801.40","801.40","801.40","801.40","","0.00%"
"2023-8-4","801.40","801.40","801.40","801.40","","0.00%"
"2023-8-3","801.40","801.40","801.40","801.40","","0.00%"
"2023-8-2","801.40","801.40","801.40","801.40","","0.00%"
"2023-8-1","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-31","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-28","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-27","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-26","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-25","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-24","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-21","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-20","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-19","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-18","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-17","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-14","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-13","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-12","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-11","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-10","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-7","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-6","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-5","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-4","801.40","801.40","801.40","801.40","","0.00%"
"2023-7-3","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-30","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-29","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-28","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-27","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-26","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-21","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-20","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-19","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-16","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-15","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-14","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-13","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-12","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-9","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-8","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-7","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-6","801.40","801.40","801.40","801.40","","0.00%"
"2023-6-5","801.40","801.40","801.40","801.40","","0.00%"
