"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-8-16","12,671.49","12,708.83","12,743.99","12,634.23","","-0.29%"
"2023-8-15","12,708.83","12,684.71","12,731.93","12,596.37","","0.19%"
"2023-8-14","12,684.71","12,865.36","12,865.36","12,575.10","","-1.40%"
"2023-8-11","12,865.36","13,154.05","13,178.10","12,865.36","","-2.19%"
"2023-8-10","13,154.05","13,170.61","13,176.89","13,047.79","","-0.13%"
"2023-8-9","13,170.61","13,179.85","13,215.73","13,129.49","","-0.07%"
"2023-8-8","13,179.85","13,201.17","13,263.13","13,085.83","","-0.16%"
"2023-8-7","13,201.17","13,278.84","13,278.84","13,142.30","","-0.58%"
"2023-8-4","13,278.84","13,232.33","13,420.25","13,228.20","","0.35%"
"2023-8-3","13,232.33","13,115.05","13,244.35","13,073.87","","0.89%"
"2023-8-2","13,115.05","13,252.54","13,267.20","13,071.53","","-1.04%"
"2023-8-1","13,252.54","13,302.48","13,391.10","13,199.56","","-0.38%"
"2023-7-31","13,302.48","13,266.99","13,566.56","13,258.69","","0.27%"
"2023-7-28","13,266.99","12,944.99","13,300.74","12,871.95","","2.49%"
"2023-7-27","12,944.99","12,918.90","13,052.09","12,911.37","","0.20%"
"2023-7-26","12,918.90","12,924.61","12,931.83","12,858.55","","-0.04%"
"2023-7-25","12,924.61","12,497.87","12,940.29","12,497.87","","3.41%"
"2023-7-24","12,497.87","12,565.55","12,565.55","12,457.51","","-0.54%"
"2023-7-21","12,565.55","12,534.92","12,650.51","12,476.26","","0.24%"
"2023-7-20","12,534.92","12,566.94","12,699.16","12,513.01","","-0.25%"
"2023-7-19","12,566.94","12,583.43","12,593.00","12,507.37","","-0.13%"
"2023-7-18","12,583.43","12,645.85","12,660.76","12,554.28","","-0.49%"
"2023-7-17","12,645.85","12,806.36","12,806.36","12,598.71","","-1.25%"
"2023-7-14","12,806.36","12,796.46","12,841.64","12,775.50","","0.08%"
"2023-7-13","12,796.46","12,561.70","12,806.53","12,556.99","","1.87%"
"2023-7-12","12,561.70","12,600.06","12,633.17","12,545.07","","-0.30%"
"2023-7-11","12,600.06","12,529.86","12,617.81","12,524.11","","0.56%"
"2023-7-10","12,529.86","12,441.77","12,609.38","12,441.77","","0.71%"
"2023-7-7","12,441.77","12,497.08","12,497.08","12,420.74","","-0.44%"
"2023-7-6","12,497.08","12,590.07","12,630.76","12,473.58","","-0.74%"
"2023-7-5","12,590.07","12,727.60","12,729.61","12,564.71","","-1.08%"
"2023-7-4","12,727.60","12,728.01","12,732.19","12,658.16","","0.00%"
"2023-7-3","12,728.01","12,489.45","12,736.13","12,489.45","","1.91%"
"2023-6-30","12,489.45","12,448.46","12,560.80","12,413.83","","0.33%"
"2023-6-29","12,448.46","12,566.54","12,570.66","12,448.46","","-0.94%"
"2023-6-28","12,566.54","12,521.31","12,584.77","12,472.09","","0.36%"
"2023-6-27","12,521.31","12,457.26","12,548.47","12,387.98","","0.51%"
"2023-6-26","12,457.26","12,646.03","12,646.03","12,423.33","","-1.49%"
"2023-6-21","12,646.03","12,774.33","12,811.82","12,646.03","","-1.00%"
"2023-6-20","12,774.33","12,850.83","12,879.97","12,749.99","","-0.60%"
"2023-6-19","12,850.83","13,056.52","13,056.52","12,804.64","","-1.58%"
"2023-6-16","13,056.52","12,953.75","13,080.77","12,951.50","","0.79%"
"2023-6-15","12,953.75","12,722.39","12,953.75","12,722.39","","1.82%"
"2023-6-14","12,722.39","12,704.37","12,851.30","12,700.40","","0.14%"
"2023-6-13","12,704.37","12,656.88","12,717.08","12,599.49","","0.38%"
"2023-6-12","12,656.88","12,600.24","12,715.77","12,543.58","","0.45%"
"2023-6-9","12,600.24","12,564.64","12,632.50","12,552.25","","0.28%"
"2023-6-8","12,564.64","12,426.64","12,618.11","12,409.41","","1.11%"
"2023-6-7","12,426.64","12,505.77","12,570.21","12,406.79","","-0.63%"
"2023-6-6","12,505.77","12,538.08","12,691.18","12,486.65","","-0.26%"
"2023-6-5","12,538.08","12,601.64","12,601.66","12,491.68","","-0.50%"
"2023-6-2","12,601.64","12,385.33","12,615.87","12,385.33","","1.75%"
"2023-6-1","12,385.33","12,333.43","12,507.46","12,308.86","","0.42%"
"2023-5-31","12,333.43","12,549.56","12,550.64","12,289.49","","-1.72%"
"2023-5-30","12,549.56","12,589.62","12,636.93","12,416.07","","-0.32%"
"2023-5-29","12,589.62","12,624.70","12,676.16","12,517.75","","-0.28%"
"2023-5-26","12,624.70","12,651.52","12,664.38","12,514.50","","-0.21%"
"2023-5-25","12,651.52","12,715.92","12,715.92","12,567.10","","-0.51%"
"2023-5-24","12,715.92","12,910.16","12,910.16","12,715.92","","-1.50%"
"2023-5-23","12,910.16","13,115.53","13,144.25","12,910.16","","-1.57%"
"2023-5-22","13,115.53","12,971.93","13,174.01","12,938.46","","1.11%"
"2023-5-19","12,971.93","13,007.21","13,048.61","12,870.53","","-0.27%"
"2023-5-18","13,007.21","13,040.91","13,126.96","12,958.34","","-0.26%"
"2023-5-17","13,040.91","13,133.52","13,141.81","13,000.88","","-0.71%"
"2023-5-16","13,133.52","13,185.46","13,230.79","13,093.99","","-0.39%"
"2023-5-15","13,185.46","13,012.79","13,186.40","12,940.55","","1.33%"
"2023-5-12","13,012.79","13,164.36","13,197.06","13,010.35","","-1.15%"
"2023-5-11","13,164.36","13,180.67","13,272.21","13,154.48","","-0.12%"
"2023-5-10","13,180.67","13,312.00","13,312.00","13,155.15","","-0.99%"
"2023-5-9","13,312.00","13,385.98","13,522.77","13,302.68","","-0.55%"
"2023-5-8","13,385.98","13,243.20","13,439.15","13,218.90","","1.08%"
"2023-5-5","13,243.20","13,231.16","13,323.08","13,166.09","","0.09%"
"2023-5-4","13,231.16","13,195.98","13,251.34","13,092.03","","0.27%"
"2023-4-28","13,195.98","13,095.79","13,223.23","13,095.17","","0.77%"
"2023-4-27","13,095.79","12,954.73","13,133.59","12,903.08","","1.09%"
"2023-4-26","12,954.73","12,959.22","12,989.30","12,852.01","","-0.03%"
