"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-8-16","3,510.30","3,533.93","3,533.93","3,506.48","","-0.67%"
"2023-8-15","3,533.93","3,503.48","3,550.02","3,503.48","","0.87%"
"2023-8-14","3,503.48","3,482.61","3,513.02","3,453.57","","0.60%"
"2023-8-11","3,482.61","3,539.41","3,539.41","3,482.61","","-1.60%"
"2023-8-10","3,539.41","3,535.27","3,543.96","3,524.62","","0.12%"
"2023-8-9","3,535.27","3,564.48","3,564.48","3,520.71","","-0.82%"
"2023-8-8","3,564.48","3,561.84","3,582.93","3,555.95","","0.07%"
"2023-8-7","3,561.84","3,532.12","3,561.84","3,520.37","","0.84%"
"2023-8-4","3,532.12","3,549.35","3,563.80","3,527.44","","-0.49%"
"2023-8-3","3,549.35","3,527.87","3,551.87","3,517.35","","0.61%"
"2023-8-2","3,527.87","3,556.26","3,556.26","3,520.04","","-0.80%"
"2023-8-1","3,556.26","3,504.26","3,556.26","3,504.26","","1.48%"
"2023-7-31","3,504.26","3,480.43","3,510.29","3,480.43","","0.68%"
"2023-7-28","3,480.43","3,455.28","3,482.70","3,442.84","","0.73%"
"2023-7-27","3,455.28","3,475.72","3,489.65","3,452.74","","-0.59%"
"2023-7-26","3,475.72","3,464.90","3,476.02","3,447.31","","0.31%"
"2023-7-25","3,464.90","3,503.48","3,504.47","3,453.50","","-1.10%"
"2023-7-24","3,503.48","3,492.70","3,506.64","3,475.84","","0.31%"
"2023-7-21","3,492.70","3,532.64","3,532.64","3,486.81","","-1.13%"
"2023-7-20","3,532.64","3,561.31","3,567.75","3,532.64","","-0.81%"
"2023-7-19","3,561.31","3,560.71","3,565.51","3,547.15","","0.02%"
"2023-7-18","3,560.71","3,580.76","3,580.76","3,556.33","","-0.56%"
"2023-7-17","3,580.76","3,580.83","3,592.81","3,565.91","","0.00%"
"2023-7-14","3,580.83","3,608.84","3,608.84","3,565.83","","-0.78%"
"2023-7-13","3,608.84","3,586.62","3,615.68","3,582.67","","0.62%"
"2023-7-12","3,586.62","3,583.00","3,594.31","3,572.56","","0.10%"
"2023-7-11","3,583.00","3,594.22","3,594.22","3,555.60","","-0.31%"
"2023-7-10","3,594.22","3,577.18","3,619.71","3,576.35","","0.48%"
"2023-7-7","3,577.18","3,557.25","3,582.09","3,557.25","","0.56%"
"2023-7-6","3,557.25","3,569.62","3,581.28","3,550.64","","-0.35%"
"2023-7-5","3,569.62","3,575.73","3,599.49","3,564.04","","-0.17%"
"2023-7-4","3,575.73","3,600.89","3,600.89","3,563.95","","-0.70%"
"2023-7-3","3,600.89","3,577.80","3,609.65","3,577.80","","0.65%"
"2023-6-30","3,577.80","3,595.96","3,608.72","3,573.37","","-0.51%"
"2023-6-29","3,595.96","3,634.18","3,634.18","3,589.69","","-1.05%"
"2023-6-28","3,634.18","3,576.13","3,635.20","3,576.13","","1.62%"
"2023-6-27","3,576.13","3,585.81","3,585.81","3,519.69","","-0.27%"
"2023-6-26","3,585.81","3,532.04","3,587.27","3,530.79","","1.52%"
"2023-6-21","3,532.04","3,522.75","3,579.55","3,522.75","","0.26%"
"2023-6-20","3,522.75","3,532.15","3,545.88","3,509.18","","-0.27%"
