"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-8-16","5,062.78","5,123.31","5,127.43","5,062.78","","-1.18%"
"2023-8-15","5,123.31","5,198.35","5,198.35","5,091.51","","-1.44%"
"2023-8-14","5,198.35","5,216.42","5,216.42","5,138.62","","-0.35%"
"2023-8-11","5,216.42","5,337.12","5,337.12","5,216.42","","-2.26%"
"2023-8-10","5,337.12","5,248.77","5,346.19","5,248.77","","1.68%"
"2023-8-9","5,248.77","5,263.99","5,266.32","5,238.15","","-0.29%"
"2023-8-8","5,263.99","5,265.20","5,287.05","5,230.89","","-0.02%"
"2023-8-7","5,265.20","5,290.15","5,290.15","5,251.38","","-0.47%"
"2023-8-4","5,290.15","5,274.31","5,334.94","5,272.33","","0.30%"
"2023-8-3","5,274.31","5,226.87","5,288.16","5,226.87","","0.91%"
"2023-8-2","5,226.87","5,316.10","5,316.10","5,217.23","","-1.68%"
"2023-8-1","5,316.10","5,346.86","5,359.05","5,290.02","","-0.58%"
"2023-7-31","5,346.86","5,350.45","5,414.68","5,336.19","","-0.07%"
"2023-7-28","5,350.45","5,285.76","5,354.94","5,241.07","","1.22%"
"2023-7-27","5,285.76","5,321.44","5,349.60","5,275.70","","-0.67%"
"2023-7-26","5,321.44","5,332.96","5,373.98","5,310.82","","-0.22%"
"2023-7-25","5,332.96","5,225.93","5,347.26","5,225.93","","2.05%"
"2023-7-24","5,225.93","5,269.01","5,269.01","5,215.69","","-0.82%"
"2023-7-21","5,269.01","5,321.61","5,323.23","5,255.91","","-0.99%"
"2023-7-20","5,321.61","5,341.71","5,386.62","5,318.80","","-0.38%"
"2023-7-19","5,341.71","5,360.22","5,367.20","5,315.89","","-0.35%"
"2023-7-18","5,360.22","5,397.60","5,397.60","5,344.62","","-0.69%"
"2023-7-17","5,397.60","5,465.14","5,465.14","5,369.66","","-1.24%"
"2023-7-14","5,465.14","5,516.68","5,516.68","5,459.07","","-0.93%"
"2023-7-13","5,516.68","5,457.16","5,519.14","5,457.16","","1.09%"
"2023-7-12","5,457.16","5,461.78","5,499.25","5,362.77","","-0.08%"
"2023-7-11","5,461.78","5,504.80","5,506.85","5,443.53","","-0.78%"
"2023-7-10","5,504.80","5,408.59","5,537.53","5,408.59","","1.78%"
"2023-7-7","5,408.59","5,451.17","5,451.17","5,403.45","","-0.78%"
"2023-7-6","5,451.17","5,477.33","5,487.44","5,424.32","","-0.48%"
"2023-7-5","5,477.33","5,544.73","5,544.73","5,456.36","","-1.22%"
"2023-7-4","5,544.73","5,573.56","5,599.20","5,529.28","","-0.52%"
"2023-7-3","5,573.56","5,511.52","5,588.75","5,511.52","","1.13%"
"2023-6-30","5,511.52","5,462.35","5,541.72","5,432.15","","0.90%"
"2023-6-29","5,462.35","5,519.16","5,532.96","5,462.01","","-1.03%"
"2023-6-28","5,519.16","5,463.08","5,521.74","5,446.95","","1.03%"
"2023-6-27","5,463.08","5,385.58","5,475.75","5,385.58","","1.44%"
"2023-6-26","5,385.58","5,397.55","5,447.48","5,334.24","","-0.22%"
"2023-6-21","5,397.55","5,463.21","5,479.45","5,396.48","","-1.20%"
"2023-6-20","5,463.21","5,492.51","5,501.76","5,446.42","","-0.53%"
"2023-6-19","5,492.51","5,522.82","5,522.82","5,472.24","","-0.55%"
"2023-6-16","5,522.82","5,480.02","5,529.66","5,472.34","","0.78%"
"2023-6-15","5,480.02","5,346.78","5,480.02","5,337.09","","2.49%"
"2023-6-14","5,346.78","5,362.95","5,398.78","5,339.02","","-0.30%"
"2023-6-13","5,362.95","5,408.91","5,408.91","5,328.89","","-0.85%"
"2023-6-12","5,408.91","5,400.62","5,432.93","5,353.67","","0.15%"
"2023-6-9","5,400.62","5,337.06","5,400.62","5,318.49","","1.19%"
"2023-6-8","5,337.06","5,309.16","5,359.65","5,306.62","","0.53%"
"2023-6-7","5,309.16","5,353.22","5,353.22","5,282.06","","-0.82%"
"2023-6-6","5,353.22","5,348.14","5,384.57","5,298.44","","0.09%"
"2023-6-5","5,348.14","5,374.00","5,381.22","5,334.01","","-0.48%"
"2023-6-2","5,374.00","5,320.54","5,387.17","5,320.54","","1.00%"
"2023-6-1","5,320.54","5,340.36","5,380.99","5,317.68","","-0.37%"
"2023-5-31","5,340.36","5,468.76","5,468.76","5,321.28","","-2.35%"
"2023-5-30","5,468.76","5,501.65","5,525.14","5,418.27","","-0.60%"
"2023-5-29","5,501.65","5,563.40","5,563.40","5,466.86","","-1.11%"
"2023-5-26","5,563.40","5,696.82","5,696.82","5,523.84","","-2.34%"
"2023-5-25","5,696.82","5,681.42","5,731.10","5,651.22","","0.27%"
"2023-5-24","5,681.42","5,684.80","5,742.06","5,658.35","","-0.06%"
"2023-5-23","5,684.80","5,720.44","5,761.95","5,684.80","","-0.62%"
"2023-5-22","5,720.44","5,726.86","5,769.33","5,697.20","","-0.11%"
"2023-5-19","5,726.86","5,787.53","5,787.53","5,720.85","","-1.05%"
"2023-5-18","5,787.53","5,791.48","5,830.62","5,774.06","","-0.07%"
"2023-5-17","5,791.48","5,802.73","5,813.89","5,729.47","","-0.19%"
"2023-5-16","5,802.73","5,763.12","5,867.06","5,763.12","","0.69%"
"2023-5-15","5,763.12","5,620.62","5,764.75","5,614.60","","2.54%"
"2023-5-12","5,620.62","5,711.21","5,722.30","5,620.62","","-1.59%"
"2023-5-11","5,711.21","5,729.59","5,745.77","5,676.50","","-0.32%"
