"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-8-15","1,467.50","1,458.00","1,478.50","1,445.00","23.21K","6.38%"
"2023-8-14","1,379.50","1,450.00","1,450.00","1,399.00","0.01K","-4.86%"
"2023-8-11","1,450.00","1,450.00","1,450.00","1,450.00","0.00K","-3.27%"
"2023-8-10","1,499.00","1,499.00","1,499.00","1,499.00","","3.38%"
"2023-8-9","1,450.00","1,450.00","1,450.00","1,450.00","","0.00%"
"2023-8-8","1,450.00","1,450.00","1,450.00","1,450.00","","0.00%"
"2023-8-7","1,450.00","1,450.00","1,450.00","1,450.00","","3.65%"
"2023-8-4","1,399.00","1,399.00","1,399.00","1,399.00","","0.00%"
"2023-8-3","1,399.00","1,399.00","1,399.00","1,399.00","0.00K","4.13%"
"2023-8-2","1,343.50","1,315.00","1,371.50","1,315.00","0.01K","4.80%"
"2023-8-1","1,282.00","1,282.00","1,282.00","1,282.00","0.00K","-6.63%"
"2023-7-31","1,373.00","1,374.50","1,426.50","1,304.50","0.03K","-5.89%"
"2023-7-28","1,459.00","1,471.50","1,472.00","1,446.50","0.01K","-1.02%"
"2023-7-27","1,474.00","1,480.00","1,509.50","1,435.00","0.01K","-1.14%"
"2023-7-26","1,491.00","1,529.00","1,529.00","1,453.50","0.00K","3.11%"
"2023-7-25","1,446.00","1,446.00","1,446.00","1,446.00","0.00K","-0.65%"
"2023-7-24","1,455.50","1,434.00","1,509.50","1,428.50","0.01K","-3.26%"
"2023-7-21","1,504.50","1,515.00","1,521.00","1,482.00","0.03K","-6.35%"
"2023-7-20","1,606.50","1,669.50","1,669.50","1,526.00","0.09K","2.85%"
"2023-7-19","1,562.00","1,737.00","1,737.00","1,447.00","0.02K","2.53%"
"2023-7-18","1,523.50","1,523.50","1,523.50","1,523.50","","1.20%"
"2023-7-17","1,505.50","1,505.50","1,505.50","1,505.50","","-6.90%"
"2023-7-14","1,617.00","1,617.00","1,617.00","1,617.00","","0.00%"
"2023-7-13","1,617.00","1,617.00","1,617.00","1,617.00","","0.00%"
"2023-7-12","1,617.00","1,617.00","1,617.00","1,617.00","","0.00%"
"2023-7-11","1,617.00","1,617.00","1,617.00","1,617.00","","0.00%"
"2023-7-10","1,617.00","1,617.00","1,617.00","1,617.00","","0.00%"
"2023-7-7","1,617.00","1,617.00","1,617.00","1,617.00","","0.00%"
"2023-7-6","1,617.00","1,617.00","1,617.00","1,617.00","","0.00%"
"2023-7-5","1,617.00","1,617.00","1,617.00","1,617.00","","0.00%"
"2023-7-4","1,617.00","1,617.00","1,617.00","1,617.00","","0.00%"
"2023-7-3","1,617.00","1,617.00","1,617.00","1,617.00","","0.00%"
"2023-6-30","1,617.00","1,599.00","1,644.50","1,599.00","0.01K","9.55%"
"2023-6-29","1,476.00","1,587.50","1,587.50","1,450.50","0.01K","0.14%"
"2023-6-28","1,474.00","1,474.00","1,474.00","1,474.00","0.00K","1.94%"
"2023-6-27","1,446.00","1,446.00","1,446.00","1,446.00","0.00K","1.12%"
"2023-6-26","1,430.00","1,430.00","1,430.00","1,430.00","0.00K","-3.21%"
"2023-6-21","1,477.50","1,477.50","1,477.50","1,477.50","0.00K","0.00%"
"2023-6-20","1,477.50","1,477.50","1,477.50","1,477.50","","0.00%"
"2023-6-19","1,477.50","1,544.00","1,544.00","1,444.00","0.00K","3.36%"
"2023-6-16","1,429.50","1,429.50","1,429.50","1,429.50","0.00K","0.28%"
"2023-6-15","1,425.50","1,425.50","1,425.50","1,425.50","","16.56%"
"2023-6-14","1,223.00","1,223.00","1,223.00","1,223.00","","0.00%"
"2023-6-13","1,223.00","1,223.00","1,223.00","1,223.00","","0.00%"
"2023-6-12","1,223.00","1,223.00","1,223.00","1,223.00","","0.00%"
"2023-6-9","1,223.00","1,223.00","1,223.00","1,223.00","","0.00%"
"2023-6-8","1,223.00","1,223.00","1,223.00","1,223.00","","0.00%"
"2023-6-7","1,223.00","1,223.00","1,223.00","1,223.00","","0.00%"
"2023-6-6","1,223.00","1,223.00","1,223.00","1,223.00","","0.00%"
"2023-6-5","1,223.00","1,223.00","1,223.00","1,223.00","","0.00%"
"2023-6-2","1,223.00","1,223.00","1,223.00","1,223.00","","0.00%"
"2023-6-1","1,223.00","1,223.00","1,223.00","1,223.00","","0.00%"
"2023-5-31","1,223.00","1,223.00","1,223.00","1,223.00","0.00K","-7.70%"
"2023-5-30","1,325.00","1,462.50","1,463.00","1,256.00","0.01K","3.52%"
"2023-5-29","1,280.00","1,280.00","1,280.00","1,280.00","0.00K","-1.54%"
"2023-5-26","1,300.00","1,300.00","1,300.00","1,300.00","","-2.48%"
"2023-5-25","1,333.00","1,333.00","1,333.00","1,333.00","0.00K","-2.67%"
"2023-5-24","1,369.50","1,369.50","1,369.50","1,369.50","0.00K","-2.07%"
"2023-5-23","1,398.50","1,463.00","1,463.00","1,330.50","0.01K","-4.41%"
"2023-5-22","1,463.00","1,463.00","1,463.00","1,463.00","","0.00%"
"2023-5-19","1,463.00","1,450.50","1,595.50","1,378.50","0.01K","-0.81%"
"2023-5-18","1,475.00","1,470.50","1,500.00","1,390.50","0.01K","19.00%"
"2023-5-17","1,239.50","1,245.00","1,260.00","1,200.00","0.29K","-0.28%"
"2023-5-16","1,243.00","1,248.00","1,248.00","1,238.00","0.00K","-0.60%"
"2023-5-15","1,250.50","1,250.50","1,250.50","1,250.50","0.00K","0.04%"
"2023-5-12","1,250.00","1,251.00","1,251.00","1,250.00","0.01K","-0.32%"
"2023-5-11","1,254.00","1,258.00","1,258.00","1,250.00","0.00K","1.13%"
"2023-5-10","1,240.00","1,230.00","1,245.00","1,230.00","0.03K","-0.24%"
"2023-5-9","1,243.00","1,250.00","1,250.00","1,235.00","0.01K","0.36%"
"2023-5-8","1,238.50","1,240.00","1,255.00","1,225.00","0.18K","0.41%"
"2023-5-5","1,233.50","1,230.00","1,240.00","1,211.00","0.21K","-0.64%"
"2023-5-4","1,241.50","1,231.00","1,264.00","1,230.00","0.21K","-6.23%"
"2023-4-28","1,324.00","1,415.00","1,415.50","1,235.00","7.14K","-7.70%"
"2023-4-27","1,434.50","1,451.50","1,476.50","1,405.00","4.49K","-2.98%"
"2023-4-26","1,478.50","1,502.00","1,502.00","1,447.50","5.65K","-3.14%"
"2023-4-25","1,526.50","1,553.00","1,556.00","1,501.00","4.77K","-1.96%"
"2023-4-24","1,557.00","1,622.50","1,622.50","1,525.50","8.15K","-1.36%"
"2023-4-21","1,578.50","1,615.50","1,619.00","1,535.00","9.41K","-4.01%"
"2023-4-20","1,644.50","1,680.00","1,680.00","1,617.00","7.14K","-3.15%"
"2023-4-19","1,698.00","1,710.00","1,712.00","1,684.00","7.51K","-0.41%"
"2023-4-18","1,705.00","1,708.50","1,723.00","1,680.00","11.47K","-7.56%"
"2023-4-17","1,844.50","1,770.00","1,770.00","1,770.00","0.00K","4.21%"
"2023-4-14","1,770.00","1,770.00","1,770.00","1,770.00","","0.00%"
"2023-4-13","1,770.00","1,770.00","1,770.00","1,770.00","0.00K","-4.32%"
"2023-4-12","1,850.00","1,850.00","1,850.00","1,850.00","0.01K","-3.39%"
"2023-4-11","1,915.00","1,900.00","1,930.00","1,900.00","0.01K","3.51%"
"2023-4-10","1,850.00","1,850.00","1,850.00","1,850.00","","0.00%"
"2023-4-7","1,850.00","1,850.00","1,850.00","1,850.00","","0.00%"
"2023-4-6","1,850.00","1,850.00","1,850.00","1,850.00","","0.00%"
"2023-4-4","1,850.00","1,850.00","1,850.00","1,850.00","0.01K","0.52%"
"2023-4-3","1,840.50","1,850.00","1,850.00","1,830.00","0.13K","4.13%"
"2023-3-31","1,767.50","1,839.00","1,839.00","1,753.00","0.03K","-1.61%"
"2023-3-30","1,796.50","1,750.00","1,815.00","1,750.00","0.01K","1.50%"
"2023-3-29","1,770.00","1,780.00","1,785.00","1,746.50","0.01K","-2.93%"
"2023-3-28","1,823.50","1,775.00","1,852.00","1,775.00","0.03K","3.02%"
"2023-3-27","1,770.00","1,750.50","1,775.00","1,750.50","0.01K","0.20%"
"2023-3-24","1,766.50","1,773.00","1,775.00","1,761.00","0.03K","0.31%"
"2023-3-23","1,761.00","1,760.00","1,769.50","1,753.00","0.01K","0.77%"
"2023-3-22","1,747.50","1,726.50","1,765.00","1,726.50","0.02K","-0.51%"
"2023-3-21","1,756.50","1,724.50","1,765.00","1,724.50","0.01K","1.59%"
"2023-3-20","1,729.00","1,723.50","1,746.00","1,717.00","0.03K","2.28%"
"2023-3-17","1,690.50","1,646.00","1,729.50","1,646.00","0.02K","0.87%"
"2023-3-16","1,676.00","1,685.00","1,685.00","1,641.00","0.02K","-3.01%"
"2023-3-15","1,728.00","1,752.50","1,752.50","1,710.00","0.01K","-33.00%"
"2023-3-14","2,579.00","2,579.00","2,579.00","2,579.00","","0.00%"
"2023-3-13","2,579.00","2,579.00","2,579.00","2,579.00","","0.00%"
"2023-3-10","2,579.00","2,579.00","2,579.00","2,579.00","","0.00%"
"2023-3-9","2,579.00","2,579.00","2,579.00","2,579.00","","0.00%"
"2023-3-8","2,579.00","2,579.00","2,579.00","2,579.00","","0.00%"
"2023-3-7","2,579.00","2,579.00","2,579.00","2,579.00","","0.00%"
"2023-3-6","2,579.00","2,579.00","2,579.00","2,579.00","","0.00%"
"2023-3-3","2,579.00","2,579.00","2,579.00","2,579.00","","0.00%"
"2023-3-2","2,579.00","2,579.00","2,579.00","2,579.00","","0.00%"
"2023-3-1","2,579.00","2,579.00","2,579.00","2,579.00","","0.00%"
"2023-2-28","2,579.00","2,925.00","2,940.50","2,174.00","0.01K","0.86%"
"2023-2-27","2,557.00","2,557.00","2,557.00","2,557.00","0.00K","-14.99%"
"2023-2-24","3,008.00","3,008.00","3,008.00","3,008.00","0.00K","0.00%"
"2023-2-23","3,008.00","3,008.00","3,008.00","3,008.00","0.00K","5.03%"
"2023-2-22","2,864.00","2,898.00","2,898.00","2,830.00","0.00K","13.65%"
"2023-2-21","2,520.00","2,520.00","2,520.00","2,520.00","","0.00%"
"2023-2-20","2,520.00","2,520.00","2,520.00","2,520.00","","4.78%"
"2023-2-17","2,405.00","2,405.00","2,405.00","2,405.00","","0.00%"
"2023-2-16","2,405.00","2,405.00","2,405.00","2,405.00","0.00K","1.84%"
"2023-2-15","2,361.50","2,361.50","2,361.50","2,361.50","","-11.44%"
"2023-2-14","2,666.50","2,666.50","2,666.50","2,666.50","","0.00%"
"2023-2-13","2,666.50","2,666.50","2,666.50","2,666.50","","0.00%"
"2023-2-10","2,666.50","2,666.50","2,666.50","2,666.50","","0.00%"
"2023-2-9","2,666.50","2,666.50","2,666.50","2,666.50","","0.00%"
"2023-2-8","2,666.50","2,666.50","2,666.50","2,666.50","","0.00%"
"2023-2-7","2,666.50","2,666.50","2,666.50","2,666.50","","0.00%"
"2023-2-6","2,666.50","2,666.50","2,666.50","2,666.50","","0.00%"
"2023-2-3","2,666.50","2,666.50","2,666.50","2,666.50","","0.00%"
"2023-2-2","2,666.50","2,666.50","2,666.50","2,666.50","","0.00%"
"2023-2-1","2,666.50","2,666.50","2,666.50","2,666.50","","0.00%"
"2023-1-31","2,666.50","2,699.50","2,778.50","2,410.50","0.01K","-0.49%"
"2023-1-30","2,679.50","2,679.50","2,679.50","2,679.50","0.00K","8.26%"
"2023-1-20","2,475.00","2,475.00","2,475.00","2,475.00","0.00K","0.47%"
"2023-1-19","2,463.50","2,463.50","2,463.50","2,463.50","0.00K","-0.71%"
"2023-1-18","2,481.00","2,481.00","2,481.00","2,481.00","","2.04%"
"2023-1-17","2,431.50","2,370.00","2,463.00","2,370.00","0.00K","-5.44%"
"2023-1-16","2,571.50","2,610.00","2,610.00","2,610.00","0.11K","-0.29%"
"2023-1-13","2,579.00","2,540.00","2,582.00","2,540.00","0.12K","1.78%"
"2023-1-12","2,534.00","2,525.00","2,543.00","2,525.00","0.01K","0.46%"
"2023-1-11","2,522.50","2,520.00","2,525.50","2,520.00","0.01K","0.20%"
"2023-1-10","2,517.50","2,511.00","2,521.50","2,511.00","0.02K","0.96%"
"2023-1-9","2,493.50","2,477.00","2,506.50","2,477.00","0.00K","1.22%"
"2023-1-6","2,463.50","2,463.50","2,463.50","2,463.50","0.00K","-2.09%"
"2023-1-5","2,516.00","2,515.00","2,517.50","2,515.00","0.01K","0.74%"
"2023-1-4","2,497.50","2,436.50","2,510.00","2,436.50","0.03K","-2.78%"
"2023-1-3","2,569.00","2,525.50","2,828.50","2,420.00","0.07K","3.34%"
"2022-12-30","2,486.00","2,457.00","2,506.50","2,447.50","2.85K","1.39%"
"2022-12-29","2,452.00","2,460.00","2,467.50","2,430.50","1.75K","-2.10%"
"2022-12-28","2,504.50","2,500.00","2,529.50","2,460.50","2.78K","0.89%"
"2022-12-27","2,482.50","2,433.50","2,513.50","2,433.50","2.81K","2.12%"
"2022-12-26","2,431.00","2,410.00","2,459.00","2,383.00","3.38K","1.86%"
"2022-12-23","2,386.50","2,380.00","2,409.50","2,356.50","1.95K","-0.21%"
"2022-12-22","2,391.50","2,414.00","2,416.50","2,363.00","2.19K","0.21%"
"2022-12-21","2,386.50","2,363.00","2,420.50","2,360.00","2.57K","0.85%"
"2022-12-20","2,366.50","2,366.50","2,380.50","2,345.50","4.21K","-0.44%"
"2022-12-19","2,377.00","2,366.00","2,404.00","2,357.50","5.71K","-1.65%"
"2022-12-16","2,417.00","2,415.50","2,451.00","2,370.00","7.77K","1.11%"
"2022-12-15","2,390.50","2,385.00","2,417.50","2,370.00","6.02K","-3.32%"
"2022-12-14","2,472.50","2,420.00","2,420.00","2,420.00","0.00K","-5.27%"
"2022-12-13","2,610.00","2,610.00","2,610.00","2,610.00","","7.85%"
"2022-12-12","2,420.00","2,420.00","2,420.00","2,420.00","0.00K","0.00%"
"2022-12-9","2,420.00","2,420.00","2,420.00","2,420.00","","0.00%"
"2022-12-8","2,420.00","2,420.00","2,420.00","2,420.00","","0.00%"
"2022-12-7","2,420.00","2,420.00","2,420.00","2,420.00","","0.00%"
"2022-12-6","2,420.00","2,420.00","2,420.00","2,420.00","","0.00%"
"2022-12-5","2,420.00","2,420.00","2,420.00","2,420.00","0.00K","-14.79%"
"2022-12-2","2,840.00","2,840.00","2,840.00","2,840.00","0.00K","-14.77%"
"2022-12-1","3,332.00","3,332.00","3,332.00","3,332.00","","0.00%"
"2022-11-30","3,332.00","3,332.00","3,332.00","3,332.00","0.00K","7.62%"
"2022-11-29","3,096.00","3,096.00","3,096.00","3,096.00","","0.00%"
"2022-11-28","3,096.00","3,194.00","3,194.00","2,998.50","0.00K","-3.07%"
"2022-11-25","3,194.00","3,194.00","3,194.50","3,194.00","0.00K","6.47%"
"2022-11-24","3,000.00","3,000.00","3,000.00","3,000.00","","2.02%"
"2022-11-23","2,940.50","2,940.50","2,940.50","2,940.50","","0.38%"
"2022-11-22","2,929.50","2,929.50","2,929.50","2,929.50","","5.57%"
"2022-11-21","2,775.00","2,775.00","2,775.00","2,775.00","0.00K","2.00%"
"2022-11-18","2,720.50","2,770.00","2,770.00","2,649.50","0.00K","-2.91%"
"2022-11-17","2,802.00","2,802.00","2,802.00","2,802.00","","1.08%"
"2022-11-16","2,772.00","2,772.00","2,772.00","2,772.00","","3.43%"
"2022-11-15","2,680.00","2,680.00","2,680.00","2,680.00","","-12.99%"
"2022-11-14","3,080.00","3,080.00","3,080.00","3,080.00","","0.00%"
"2022-11-11","3,080.00","3,080.00","3,080.00","3,080.00","","0.00%"
"2022-11-10","3,080.00","3,080.00","3,080.00","3,080.00","","0.00%"
"2022-11-9","3,080.00","3,080.00","3,080.00","3,080.00","","0.00%"
"2022-11-8","3,080.00","3,080.00","3,080.00","3,080.00","","0.00%"
"2022-11-7","3,080.00","3,080.00","3,080.00","3,080.00","","0.00%"
"2022-11-4","3,080.00","3,080.00","3,080.00","3,080.00","","0.00%"
"2022-11-3","3,080.00","3,080.00","3,080.00","3,080.00","","0.00%"
"2022-11-2","3,080.00","3,080.00","3,080.00","3,080.00","0.00K","0.00%"
