"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-8-16","3.0269","3.0338","3.0570","3.0103","","-0.04%"
"2023-8-15","3.0280","3.0795","3.0921","3.0088","39.32K","-1.95%"
"2023-8-14","3.0883","3.1152","3.1344","3.0572","41.67K","-1.06%"
"2023-8-11","3.1215","3.1502","3.1949","3.1115","50.48K","-1.01%"
"2023-8-10","3.1533","3.2107","3.2310","3.1233","46.45K","-1.67%"
"2023-8-9","3.2070","3.0860","3.2172","3.0791","60.55K","3.93%"
"2023-8-8","3.0856","3.0329","3.0917","2.9374","56.01K","2.32%"
"2023-8-7","3.0155","3.0699","3.0828","3.0122","41.54K","-1.53%"
"2023-8-4","3.0622","3.0852","3.0954","3.0390","47.85K","-0.41%"
"2023-8-3","3.0749","3.0150","3.0927","2.9633","60.04K","2.35%"
"2023-8-2","3.0043","3.0648","3.0874","2.9678","64.18K","-0.63%"
"2023-8-1","3.0234","2.9964","3.0725","2.9813","75.58K","1.09%"
"2023-7-31","2.9909","2.9558","3.0041","2.9319","3.14K","1.09%"
"2023-7-28","2.9586","2.9006","2.9748","2.8862","16.84K","1.43%"
"2023-7-27","2.9169","2.8418","2.9233","2.8403","17.08K","2.60%"
"2023-7-26","2.8429","2.7700","2.8485","2.7593","18.10K","2.35%"
"2023-7-25","2.7776","2.7745","2.7913","2.7316","20.82K","0.26%"
"2023-7-24","2.7705","2.7458","2.8369","2.7220","28.89K","0.90%"
"2023-7-21","2.7457","2.6740","2.7507","2.6694","22.41K","3.05%"
"2023-7-20","2.6644","2.6434","2.6736","2.6184","29.65K","0.86%"
"2023-7-19","2.6418","2.6145","2.6774","2.5990","33.04K","1.63%"
"2023-7-18","2.5994","2.5684","2.6122","2.5588","26.67K","1.37%"
"2023-7-17","2.5642","2.5825","2.6227","2.5488","34.43K","-1.30%"
"2023-7-14","2.5979","2.6181","2.6349","2.5706","51.57K","-0.48%"
"2023-7-13","2.6104","2.6059","2.6332","2.5787","52.40K","0.42%"
"2023-7-12","2.5996","2.5769","2.6250","2.5714","52.99K","0.62%"
"2023-7-11","2.5837","2.5589","2.5962","2.5455","39.77K","1.19%"
"2023-7-10","2.5532","2.5623","2.5830","2.5291","41.62K","-0.23%"
"2023-7-7","2.5591","2.4864","2.5628","2.4807","49.17K","3.21%"
"2023-7-6","2.4794","2.4980","2.5009","2.4323","46.64K","-0.56%"
"2023-7-5","2.4933","2.3922","2.5053","2.3850","66.64K","2.42%"
"2023-7-4","2.4345","2.3896","2.4479","2.3852","","2.41%"
"2023-7-3","2.3773","2.4366","2.4682","2.3750","47.63K","-2.90%"
"2023-6-30","2.4482","2.4250","2.4648","2.4020","2.09K","1.35%"
"2023-6-29","2.4156","2.4046","2.4518","2.3887","10.10K","0.37%"
"2023-6-28","2.4067","2.4176","2.4362","2.3708","16.02K","0.32%"
"2023-6-27","2.3990","2.4526","2.4800","2.3899","21.23K","-1.63%"
"2023-6-26","2.4388","2.4260","2.4651","2.4096","27.50K","1.32%"
"2023-6-23","2.4071","2.4697","2.4705","2.3816","27.90K","-2.37%"
"2023-6-22","2.4655","2.5587","2.5760","2.4470","34.59K","-3.85%"
"2023-6-21","2.5642","2.4639","2.5684","2.4530","43.20K","3.59%"
"2023-6-20","2.4754","2.5514","2.5539","2.4417","49.20K","-1.35%"
"2023-6-19","2.5094","2.5446","2.5450","2.4980","","-1.39%"
